prodcodeid,category,also_0303cromo
"1751341000033111","saba",""
"1505941000033116","saba",""
"1255341000033116","saba",""
"1510341000033111","saba",""
"1256941000033111","saba",""
"5393241000033111","saba",""
"163641000033116","saba",""
"1423441000033112","saba",""
"128841000033118","saba",""
"1250141000033112","saba",""
"1913441000033115","saba",""
"4499041000033118","saba",""
"1511441000033114","saba",""
"1768141000033111","saba",""
"8491641000033114","saba",""
"1255041000033118","saba",""
"1254741000033116","saba",""
"20541000033110","saba","1"
"1422541000033119","saba",""
"1241341000033116","saba",""
"1699041000033114","saba",""
"1907441000033111","saba",""
"2726341000033115","saba",""
"1907341000033117","saba",""
"5393141000033116","saba",""
"1422741000033110","saba",""
"3344041000033116","saba",""
"4498841000033119","saba",""
"1510841000033119","saba-ics",""
"1511041000033117","saba-ics",""
"1505841000033112","saba-ics",""
"1510941000033110","saba-ics",""
"1860741000033110","saba-sama",""
"485841000033117","saba-sama",""
"330241000033113","saba-sama",""
"3163441000033113","saba-sama",""
"488041000033119","saba-sama",""
"3075541000033113","sama",""
"88241000033118","sama",""
"13283241000033112","sama",""
"772841000033113","sama",""
"88541000033116","sama",""
"12430241000033117","sama",""
"772941000033117","sama",""
"773041000033110","sama",""
"89441000033110","sama",""
"88441000033117","sama",""
"88341000033111","sama",""
"772641000033112","sama",""
"3075441000033112","sama",""
"772541000033111","sama",""
"12431141000033117","triple",""
"13912841000033115","triple",""
"13744141000033117","triple",""
"13774841000033112","triple",""
"12364641000033110","triple",""
